,categories,code,color,description,message,metadata,requestId,url,show
0,"[{'name': 'abstract_', 'score': 0.00390625}, {'name': 'others_', 'score': 0.046875}, {'name': 'outdoor_', 'score': 0.00390625}]",0,"{'dominantColorForeground': 'Yellow', 'dominantColorBackground': 'Grey', 'dominantColors': ['Grey', 'Yellow'], 'accentColor': 'A28929', 'isBWImg': False}","{'tags': ['photo', 'sitting', 'different', 'top', 'man', 'street', 'kitchen', 'refrigerator', 'holding', 'standing', 'bus', 'sign', 'door', 'white', 'cat', 'room', 'people', 'city', 'parked', 'window', 'fire'], 'captions': [{'text': 'a close up of a door', 'confidence': 0.40545982465739777}]}",0,"{'width': 168, 'height': 113, 'format': 'Jpeg'}",31c807b1-81c6-42bd-850f-b21872e46b30,http://collections.eseoul.go.kr/data/art/thumb/0002.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=4
1,"[{'name': 'abstract_', 'score': 0.00390625}, {'name': 'others_', 'score': 0.0078125}]",0,"{'dominantColorForeground': 'Brown', 'dominantColorBackground': 'Brown', 'dominantColors': ['Brown', 'White'], 'accentColor': '332714', 'isBWImg': False}","{'tags': ['indoor', 'photo', 'sitting', 'table', 'front', 'holding', 'laptop', 'computer', 'white', 'tree', 'rug', 'sign', 'mirror', 'food', 'man'], 'captions': [{'text': 'a close up of a tree', 'confidence': 0.6905119156729496}]}",0,"{'width': 78, 'height': 168, 'format': 'Jpeg'}",3c3d1dbd-e8c3-4247-a7ca-a53b474c3aad,http://collections.eseoul.go.kr/data/art/thumb/0003.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=5
2,"[{'name': 'others_', 'score': 0.0078125}]",0,"{'dominantColorForeground': 'Grey', 'dominantColorBackground': 'White', 'dominantColors': ['White', 'Grey'], 'accentColor': '7D654E', 'isBWImg': False}","{'tags': ['man', 'standing', 'top', 'water', 'white', 'cat', 'kitchen', 'young', 'oven', 'blurry', 'doing'], 'captions': [{'text': 'a blurry image of a man', 'confidence': 0.7577750494243081}]}",0,"{'width': 149, 'height': 168, 'format': 'Jpeg'}",89ecfb33-1acd-4f10-9970-109231449f7d,http://collections.eseoul.go.kr/data/art/thumb/0004.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=6
3,"[{'name': 'abstract_nonphoto', 'score': 0.16015625}, {'name': 'text_', 'score': 0.30078125}]",0,"{'dominantColorForeground': 'Brown', 'dominantColorBackground': 'White', 'dominantColors': ['Brown'], 'accentColor': '6D4A26', 'isBWImg': False}","{'tags': ['photo', 'man', 'different', 'large', 'sign', 'people', 'display', 'white'], 'captions': [{'text': 'a close up of a sign', 'confidence': 0.5743496069349425}]}",0,"{'width': 118, 'height': 168, 'format': 'Jpeg'}",10e72228-1c76-4004-ad3f-a1d1fc62fb54,http://collections.eseoul.go.kr/data/art/thumb/0005.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=7
4,"[{'name': 'abstract_nonphoto', 'score': 0.24609375}, {'name': 'abstract_texture', 'score': 0.33984375}, {'name': 'outdoor_', 'score': 0.00390625}]",0,"{'dominantColorForeground': 'Grey', 'dominantColorBackground': 'None', 'dominantColors': ['Grey'], 'accentColor': '9D422E', 'isBWImg': False}","{'tags': [], 'captions': [{'text': 'a close up of a logo', 'confidence': 0.828477642997278}]}",0,"{'width': 168, 'height': 75, 'format': 'Jpeg'}",ca138443-b809-4ef6-9218-834eb809182d,http://collections.eseoul.go.kr/data/art/thumb/0006.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=8
5,"[{'name': 'outdoor_', 'score': 0.01953125}, {'name': 'outdoor_oceanbeach', 'score': 0.44921875}]",0,"{'dominantColorForeground': 'Grey', 'dominantColorBackground': 'White', 'dominantColors': ['White'], 'accentColor': '244A60', 'isBWImg': False}","{'tags': ['mountain', 'outdoor', 'people', 'water', 'large', 'city', 'view', 'group', 'boat', 'man', 'airplane', 'white', 'busy', 'standing', 'street', 'crowd', 'dog', 'air', 'stuffed'], 'captions': [{'text': 'a group of people on a mountain', 'confidence': 0.5239662209846531}]}",0,"{'width': 168, 'height': 135, 'format': 'Jpeg'}",a5800fb4-eaf8-499f-a7d9-0032a2aff984,http://collections.eseoul.go.kr/data/art/thumb/0007.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=9
6,"[{'name': 'abstract_rect', 'score': 0.99609375}]",0,"{'dominantColorForeground': 'Yellow', 'dominantColorBackground': 'Brown', 'dominantColors': ['Yellow', 'Brown'], 'accentColor': '998532', 'isBWImg': False}","{'tags': ['indoor', 'object', 'painting', 'photo', 'framework', 'sitting', 'room', 'standing', 'decorated', 'old', 'living', 'hanging', 'posing', 'table', 'clock', 'holding', 'large', 'painted', 'top', 'vase', 'man', 'colorful', 'screen', 'white', 'television', 'wooden', 'cat', 'people', 'mirror', 'bird', 'woman', 'red', 'playing', 'group', 'shower', 'video'], 'captions': [{'text': 'a painting in a frame hanging on a wall', 'confidence': 0.8247451213104994}]}",0,"{'width': 168, 'height': 135, 'format': 'Jpeg'}",6c51d98d-902e-46aa-b608-dcefa1d13d6a,http://collections.eseoul.go.kr/data/art/thumb/0008_1.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=10
7,"[{'name': 'abstract_', 'score': 0.0078125}, {'name': 'others_', 'score': 0.00390625}, {'name': 'outdoor_', 'score': 0.00390625}, {'name': 'outdoor_road', 'score': 0.40234375}]",0,"{'dominantColorForeground': 'Grey', 'dominantColorBackground': 'Grey', 'dominantColors': ['Grey'], 'accentColor': '9D842E', 'isBWImg': False}","{'tags': ['grass', 'window', 'building', 'sitting', 'large', 'front', 'white', 'train', 'view', 'runway', 'airplane', 'man', 'plane', 'track', 'cake', 'riding', 'rug', 'blue'], 'captions': [{'text': 'a view of a large window', 'confidence': 0.5240254690305084}]}",0,"{'width': 168, 'height': 125, 'format': 'Jpeg'}",ac25f036-73ee-4802-9106-d70aae8ce9dc,http://collections.eseoul.go.kr/data/art/thumb/0009.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=13
8,0,0,"{'dominantColorForeground': 'Black', 'dominantColorBackground': 'White', 'dominantColors': [], 'accentColor': '342F18', 'isBWImg': False}","{'tags': ['outdoor', 'grass', 'photo', 'tree', 'cat', 'walking', 'street', 'side', 'sign', 'standing', 'water', 'riding', 'white', 'man', 'dog', 'woman', 'red', 'palm', 'field', 'playing'], 'captions': [{'text': 'a cat lying on a tree', 'confidence': 0.33491972707035295}]}",0,"{'width': 168, 'height': 109, 'format': 'Jpeg'}",cfab6d15-0966-4a7b-93da-859db083dc6b,http://collections.eseoul.go.kr/data/art/thumb/0010.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=14
9,"[{'name': 'abstract_rect', 'score': 0.99609375}]",0,"{'dominantColorForeground': 'White', 'dominantColorBackground': 'White', 'dominantColors': ['White'], 'accentColor': '836848', 'isBWImg': False}","{'tags': ['framework', 'indoor', 'photo', 'mirror', 'front', 'sitting', 'room', 'white', 'holding', 'large', 'clock', 'sign', 'table', 'standing', 'window'], 'captions': [{'text': 'a sign in front of a mirror posing for the camera', 'confidence': 0.34029580216740646}]}",0,"{'width': 168, 'height': 139, 'format': 'Jpeg'}",2cde9e09-4c74-4f61-be6b-a8f7b527c0e9,http://collections.eseoul.go.kr/data/art/thumb/0011_1.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=15
10,"[{'name': 'abstract_rect', 'score': 0.99609375}]",0,"{'dominantColorForeground': 'White', 'dominantColorBackground': 'White', 'dominantColors': ['White'], 'accentColor': 'A03A2B', 'isBWImg': False}","{'tags': ['clock', 'sitting', 'front', 'room', 'white', 'sign', 'large', 'hanging', 'holding', 'standing', 'red'], 'captions': [{'text': 'a sign on a wall', 'confidence': 0.5738052172942288}]}",0,"{'width': 168, 'height': 136, 'format': 'Jpeg'}",788ef86f-510c-4bf7-9493-0032693387f8,http://collections.eseoul.go.kr/data/art/thumb/0012_1.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=18
11,"[{'name': 'abstract_rect', 'score': 0.99609375}]",0,"{'dominantColorForeground': 'Grey', 'dominantColorBackground': 'White', 'dominantColors': ['White', 'Grey'], 'accentColor': '634D34', 'isBWImg': False}","{'tags': ['indoor', 'building', 'window', 'white', 'sitting', 'photo', 'bed', 'wooden', 'room', 'mirror', 'black', 'sink', 'bedroom', 'top', 'table', 'large', 'door', 'standing', 'woman', 'blue', 'living', 'clock', 'vase', 'rug'], 'captions': [{'text': 'a close up of a window', 'confidence': 0.6441952416014332}]}",0,"{'width': 145, 'height': 168, 'format': 'Jpeg'}",79e79cb4-2810-4d34-9d14-9787dc492b2e,http://collections.eseoul.go.kr/data/art/thumb/0013_1.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=21
12,"[{'name': 'abstract_rect', 'score': 0.98828125}]",0,"{'dominantColorForeground': 'Grey', 'dominantColorBackground': 'White', 'dominantColors': ['White', 'Grey'], 'accentColor': '846847', 'isBWImg': False}","{'tags': ['indoor', 'object', 'framework', 'monitor', 'mirror', 'window', 'sitting', 'photo', 'screen', 'television', 'mounted', 'white', 'clock', 'top', 'hanging', 'painted', 'sign', 'large', 'painting', 'wooden', 'table', 'blue', 'room', 'cat', 'sink'], 'captions': [{'text': 'a painting hanging on a wall', 'confidence': 0.7344369913192097}]}",0,"{'width': 168, 'height': 134, 'format': 'Jpeg'}",79af1fe2-fd6d-4217-8f66-991dcbac35e8,http://collections.eseoul.go.kr/data/art/thumb/0014_1.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=24
13,"[{'name': 'abstract_rect', 'score': 0.90625}]",0,"{'dominantColorForeground': 'White', 'dominantColorBackground': 'White', 'dominantColors': ['White'], 'accentColor': '756046', 'isBWImg': False}","{'tags': ['indoor', 'photo', 'room', 'sitting', 'white', 'table', 'decorated', 'mounted', 'large', 'mirror', 'painting', 'top', 'sign', 'door', 'painted', 'desk', 'hanging', 'wooden', 'sink', 'clock', 'refrigerator'], 'captions': [{'text': 'a painting on the wall', 'confidence': 0.6072481862857294}]}",0,"{'width': 143, 'height': 168, 'format': 'Jpeg'}",1b4a72e3-3128-40e7-ae23-e961b7461f33,http://collections.eseoul.go.kr/data/art/thumb/0015_1.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=27
14,"[{'name': 'abstract_shape', 'score': 0.12890625}, {'name': 'others_', 'score': 0.05078125}]",0,"{'dominantColorForeground': 'Brown', 'dominantColorBackground': 'White', 'dominantColors': ['White', 'Brown'], 'accentColor': '68461D', 'isBWImg': False}","{'tags': ['indoor', 'sitting', 'small', 'vase', 'top', 'table', 'old', 'brown', 'box', 'wooden', 'white', 'filled', 'case', 'counter', 'bowl', 'cat', 'sink', 'oven'], 'captions': [{'text': 'a vase sitting on a counter', 'confidence': 0.09902236506579766}]}",0,"{'width': 168, 'height': 115, 'format': 'Jpeg'}",a0cf8805-9471-4c53-ba6c-ef52953d9b13,http://collections.eseoul.go.kr/data/art/thumb/0016.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=30
15,"[{'name': 'others_', 'score': 0.00390625}, {'name': 'outdoor_', 'score': 0.0078125}]",0,"{'dominantColorForeground': 'Black', 'dominantColorBackground': 'White', 'dominantColors': ['White', 'Black'], 'accentColor': '614838', 'isBWImg': False}","{'tags': ['photo', 'white', 'front', 'sitting', 'large', 'street', 'black', 'man', 'mountain', 'standing', 'cat', 'flying', 'sign', 'holding', 'water', 'red', 'field', 'city', 'people', 'riding'], 'captions': [{'text': 'a black sign with white text', 'confidence': 0.2845174560461804}]}",0,"{'width': 168, 'height': 112, 'format': 'Jpeg'}",405f091c-820d-4dfd-a666-a1f66c8b8e4f,http://collections.eseoul.go.kr/data/art/thumb/0017.jpg,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=31
